"query","search interest","increase percent"
"call of the wild hunter",100,"40%"
"call of the wild the hunter",96,"30%"
"the hunter call of the wild",94,"30%"
"the hunter",93,"20%"
"the hunter call of wild",92,"20%"
"hunter",91,"20%"
"hunter call of the wild",91,"30%"
"the angler call of the wild",9,"-40%"
"movie call of the wild",9,"-1%"
"the call of the wild movie",8,"-1%"
"call of the wild movie",8,"-4%"
"call of the wild the angler",8,"-40%"
"thehunter call of the wild",8,"90%"
"thehunter",8,"90%"
"call of the wild angler",8,"-40%"
"call of the wild game",8,"50%"
"the hunter call of the wild map",6,"40%"
"call of the wild dog",6,"10%"
"call of the wild book",5,"10%"
"the call of the wild book",5,"10%"
"hunting call of the wild",5,"60%"
"call of the wild dlc",4,"50%"
"call of the wild buck",4,"20%"
"call of the wild ps5",4,"70%"
"buck call of the wild",4,"8%"
"ps5",4,"80%"
"buck",4,"10%"
"hunter call of the wild animals",4,"30%"
"the hunter call of the wild xbox",4,"10%"
"hunter call of the wild xbox",4,"10%"
"the hunt call of the wild",3,"50%"
"call of the wild ps4",3,"7%"
"hunt call of the wild",3,"40%"
"cotw",3,"70%"
"dlc the hunter call of the wild",3,"30%"
"the hunter call of the wild dlc",3,"30%"
"the hunter call of the wild ps5",3,"80%"
"hunter call of the wild ps5",3,"80%"
"hunter call of the wild dlc",3,"20%"
"call of the wild maps",2,"40%"
"steam",2,"30%"
"call of the wild steam",2,"30%"
"call of the wild man",2,"40%"
"into the wild",2,"30%"
"hunter call of the wild ps4",2,"2%"
"the hunter call of the wild ps4",2,"0%"
"the hunter call of the wild pc",2,"20%"
"way of the hunter",2,"20%"
"the call of the wild jack london",2,"20%"
"jack london call of the wild",2,"20%"